Incident_ID,Event_ID,Analyst_ID,Escalation_Level,MTTD_Min,MTTR_Min,Root_Cause,Closed_Flag
INC000001,E000001,A013,Level 1,1,17,Configuration Weakness,No
INC000002,E000002,A040,Level 1,10,36,User Error,No
INC000003,E000003,A007,Level 3,3,14,Credential Leak,Yes
INC000004,E000004,A043,Level 3,3,24,User Error,Yes
INC000005,E000005,A048,Level 3,12,53,Configuration Weakness,Yes
INC000006,E000006,A039,Level 2,6,40,Credential Leak,No
INC000007,E000007,A022,Level 1,5,43,Zero Day Exploit,No
INC000008,E000008,A015,Level 2,2,54,User Error,Yes
INC000009,E000009,A022,Level 3,10,33,Configuration Weakness,No
INC000010,E000010,A005,Level 2,12,44,Zero Day Exploit,No
INC000011,E000011,A010,Level 1,9,49,Zero Day Exploit,No
INC000012,E000012,A009,Level 2,12,49,Credential Leak,No
INC000013,E000013,A003,Level 3,12,67,Zero Day Exploit,Yes
INC000014,E000014,A014,Level 3,4,32,Malware Payload,Yes
INC000015,E000015,A009,Level 3,11,23,Configuration Weakness,No
INC000016,E000016,A005,Level 3,8,32,Malware Payload,Yes
INC000017,E000017,A023,Level 2,7,25,Credential Leak,No
INC000018,E000018,A009,Level 1,11,23,Configuration Weakness,Yes
INC000019,E000019,A029,Level 3,3,30,User Error,No
INC000020,E000020,A016,Level 2,2,57,Zero Day Exploit,Yes
INC000021,E000021,A006,Level 2,4,44,Malware Payload,Yes
INC000022,E000022,A016,Level 1,3,54,Configuration Weakness,No
INC000023,E000023,A011,Level 1,12,53,Configuration Weakness,No
INC000024,E000024,A047,Level 2,1,19,Malware Payload,No
INC000025,E000025,A044,Level 1,6,20,Configuration Weakness,Yes
INC000026,E000026,A035,Level 1,9,35,Malware Payload,Yes
INC000027,E000027,A016,Level 3,14,39,Credential Leak,No
INC000028,E000028,A036,Level 2,4,34,Configuration Weakness,Yes
INC000029,E000029,A003,Level 1,5,55,Configuration Weakness,Yes
INC000030,E000030,A020,Level 1,5,40,User Error,Yes
INC000031,E000031,A035,Level 1,6,32,Credential Leak,Yes
INC000032,E000032,A009,Level 3,7,17,User Error,No
INC000033,E000033,A005,Level 2,5,18,Malware Payload,No
