Log_ID,Event_ID,Protocol,Source_Port,Destination_Port,Connection_Duration_Sec,Traffic_Flag
L000001,E000001,TCP,33243,33950,366,ACK
L000002,E000002,HTTP,64311,36557,569,ACK
L000003,E000003,TCP,58586,39864,200,RST
L000004,E000004,UDP,61347,29692,463,ACK
L000005,E000005,HTTP,3105,32571,202,ACK
L000006,E000006,TCP,61549,36517,101,RST
L000007,E000007,HTTPS,5657,58910,512,RST
L000008,E000008,TCP,7832,463,241,FIN
L000009,E000009,TCP,11456,3511,513,ACK
L000010,E000010,HTTPS,4348,32663,328,FIN
L000011,E000011,HTTPS,49621,65188,277,SYN
L000012,E000012,HTTPS,41086,40216,77,FIN
L000013,E000013,TCP,1197,51950,73,SYN
L000014,E000014,TCP,57460,54163,102,ACK
L000015,E000015,UDP,3885,54645,182,SYN
L000016,E000016,HTTP,54057,35904,28,FIN
L000017,E000017,TCP,5242,6157,263,ACK
L000018,E000018,TCP,23300,43306,581,SYN
L000019,E000019,UDP,30564,50342,513,ACK
L000020,E000020,HTTP,18932,16391,469,RST
L000021,E000021,HTTP,21142,24754,87,FIN
L000022,E000022,HTTPS,36777,37598,111,FIN
L000023,E000023,UDP,13543,59795,416,FIN
L000024,E000024,HTTPS,20307,31961,55,SYN
L000025,E000025,HTTP,33793,30257,131,ACK
L000026,E000026,TCP,56754,33502,239,ACK
L000027,E000027,UDP,55254,48901,394,FIN
L000028,E000028,HTTPS,7968,37150,491,RST
L000029,E000029,TCP,8907,24726,422,RST
L000030,E000030,TCP,25253,47838,597,ACK
L000031,E000031,HTTPS,56989,29708,37,RST
L000032,E000032,HTTPS,23291,29901,313,RST
L000033,E000033,HTTP,55061,39154,470,RST
L000034,E000034,HTTP,39371,59566,485,RST
L000035,E000035,HTTPS,31634,14040,529,SYN
L000036,E000036,TCP,59162,30321,335,SYN
L000037,E000037,HTTPS,34392,8743,206,ACK
L000038,E000038,HTTPS,15421,54930,239,ACK
L000039,E000039,HTTP,30666,50635,299,SYN
L000040,E000040,UDP,28462,32706,585,RST
L000041,E000041,HTTP,29432,3440,467,ACK
L000042,E000042,HTTP,17158,55077,422,SYN
L000043,E000043,HTTP,10204,5351,480,ACK
L000044,E000044,UDP,4391,16308,233,SYN
L000045,E000045,HTTP,33702,52328,459,ACK
L000046,E000046,TCP,64450,10793,170,FIN
L000047,E000047,HTTP,50955,49292,521,RST
L000048,E000048,UDP,3634,33578,545,ACK
L000049,E000049,HTTPS,53379,44825,42,RST
L000050,E000050,TCP,54581,45565,20,RST
L000051,E000051,UDP,12368,44911,95,FIN
L000052,E000052,HTTP,14755,50674,323,FIN
L000053,E000053,TCP,36914,54194,513,FIN
L000054,E000054,HTTPS,220,41842,569,FIN
L000055,E000055,HTTPS,32000,8149,124,RST
L000056,E000056,UDP,19231,39973,551,FIN
L000057,E000057,HTTPS,15722,16803,216,RST
L000058,E000058,HTTP,54439,51633,58,FIN
L000059,E000059,TCP,27384,61196,154,RST
L000060,E000060,HTTPS,11718,17452,21,RST
L000061,E000061,UDP,36696,43583,514,SYN
L000062,E000062,TCP,58373,46769,262,ACK
L000063,E000063,TCP,24411,57334,417,RST
L000064,E000064,HTTPS,4074,4150,88,RST
L000065,E000065,TCP,30478,7307,17,FIN
L000066,E000066,HTTP,46931,40004,596,ACK
L000067,E000067,TCP,31236,53102,90,SYN
L000068,E000068,UDP,11323,5182,258,SYN
L000069,E000069,HTTPS,2140,20544,45,ACK
L000070,E000070,HTTP,25237,7162,102,RST
L000071,E000071,UDP,19376,5911,504,FIN
L000072,E000072,TCP,18293,26739,363,FIN
L000073,E000073,HTTP,21493,5648,197,ACK
L000074,E000074,UDP,61204,64538,358,FIN
L000075,E000075,TCP,27219,52043,318,SYN
L000076,E000076,HTTP,43003,26933,425,ACK
L000077,E000077,TCP,45256,12891,401,ACK
L000078,E000078,UDP,33609,27025,325,RST
L000079,E000079,HTTP,1270,3592,467,FIN
L000080,E000080,HTTP,13703,21356,193,FIN
L000081,E000081,TCP,4234,64416,590,SYN
L000082,E000082,HTTPS,23999,15159,417,FIN
L000083,E000083,HTTPS,1309,52911,412,RST
L000084,E000084,HTTPS,55343,52979,501,RST
L000085,E000085,TCP,53907,55465,222,FIN
L000086,E000086,TCP,20266,52236,360,ACK
L000087,E000087,HTTP,62162,56138,292,RST
L000088,E000088,HTTP,50540,38291,76,FIN
L000089,E000089,UDP,22702,60141,35,SYN
L000090,E000090,HTTP,12887,63161,369,SYN
L000091,E000091,HTTP,2594,62116,397,ACK
L000092,E000092,UDP,39410,46624,273,RST
L000093,E000093,HTTP,6463,51115,219,ACK
L000094,E000094,HTTPS,5642,3242,45,FIN
L000095,E000095,TCP,56749,11355,449,FIN
L000096,E000096,UDP,63325,33865,281,RST
L000097,E000097,TCP,48050,39997,584,SYN
L000098,E000098,UDP,42429,1146,381,SYN
L000099,E000099,TCP,65150,25132,226,ACK
L000100,E000100,UDP,43196,16002,410,ACK
L000101,E000101,HTTP,38196,65342,235,ACK
L000102,E000102,HTTPS,23698,32106,132,SYN
L000103,E000103,UDP,46438,19227,597,SYN
L000104,E000104,UDP,33499,50436,226,SYN
L000105,E000105,TCP,28043,11370,254,SYN
L000106,E000106,UDP,59750,60551,184,FIN
L000107,E000107,HTTP,7618,27180,515,SYN
L000108,E000108,HTTPS,29520,26233,135,RST
L000109,E000109,TCP,32227,40663,97,SYN
L000110,E000110,HTTPS,9237,40189,162,ACK
L000111,E000111,UDP,62012,64438,344,SYN
L000112,E000112,UDP,47969,13754,380,ACK
L000113,E000113,TCP,59379,24487,263,FIN
L000114,E000114,HTTPS,11001,46671,566,RST
L000115,E000115,UDP,47098,20408,372,SYN
L000116,E000116,HTTP,47123,60939,38,FIN
L000117,E000117,TCP,17482,52014,467,RST
L000118,E000118,TCP,49568,54586,449,ACK
L000119,E000119,UDP,5100,35157,141,FIN
L000120,E000120,HTTP,25327,35894,174,SYN
L000121,E000121,HTTPS,12772,24621,143,RST
L000122,E000122,TCP,13909,34307,451,FIN
L000123,E000123,HTTPS,57570,15138,154,ACK
L000124,E000124,UDP,59409,9133,151,FIN
L000125,E000125,UDP,56123,28383,214,RST
L000126,E000126,UDP,25758,33603,90,ACK
L000127,E000127,HTTP,16494,6837,310,FIN
L000128,E000128,UDP,61221,34195,506,FIN
L000129,E000129,HTTPS,22772,40064,17,FIN
L000130,E000130,HTTP,30533,18568,102,RST
L000131,E000131,HTTPS,20479,14099,289,FIN
L000132,E000132,TCP,249,22576,479,FIN
L000133,E000133,TCP,25363,45331,339,ACK
L000134,E000134,HTTP,14236,11593,262,ACK
L000135,E000135,HTTP,19609,54796,285,ACK
L000136,E000136,HTTP,47656,24544,131,FIN
L000137,E000137,HTTP,60251,358,573,RST
L000138,E000138,HTTPS,20869,60450,280,RST
L000139,E000139,UDP,47009,35654,133,FIN
L000140,E000140,HTTPS,1828,59763,448,RST
L000141,E000141,UDP,22713,51905,10,SYN
L000142,E000142,HTTPS,61549,11376,201,SYN
L000143,E000143,HTTP,12811,43233,469,RST
L000144,E000144,TCP,16996,40169,302,RST
