Event_ID,Event_DateTime,Attack_Type_ID,Source_IP_ID,Country_ID,Severity_ID,System_ID,Packets,Bytes_Transferred,Detection_Time_Min,Response_Time_Min,Status
E000001,2024-02-01,AT03,IP0283,C03,S2,SYS05,6018,903995,1,17,Mitigated
E000002,2024-03-08,AT01,IP0246,C07,S2,SYS07,8536,5260025,10,36,Resolved
E000003,2024-12-10,AT06,IP0163,C02,S1,SYS04,41587,7044075,3,14,Resolved
E000004,2023-04-06,AT04,IP0283,C03,S2,SYS07,43665,4029301,3,24,Mitigated
E000005,2023-09-14,AT02,IP0029,C02,S5,SYS05,6626,1239391,12,53,Mitigated
E000006,2024-07-13,AT01,IP0116,C06,S2,SYS05,38642,4070471,6,40,Resolved
E000007,2023-04-13,AT06,IP0283,C05,S2,SYS02,48371,1969883,5,43,Escalated
E000008,2024-05-01,AT01,IP0258,C03,S3,SYS05,13308,2393474,2,54,Escalated
E000009,2024-01-18,AT01,IP0173,C01,S3,SYS07,40814,8666304,10,33,Mitigated
E000010,2024-06-21,AT01,IP0296,C05,S5,SYS06,18476,9671695,12,44,Mitigated
E000011,2024-06-08,AT05,IP0016,C08,S3,SYS06,18136,6713889,9,49,Escalated
E000012,2024-09-02,AT01,IP0248,C04,S5,SYS07,31909,786763,12,49,Escalated
E000013,2024-06-14,AT02,IP0031,C03,S3,SYS04,15360,7199312,12,67,Resolved
E000014,2024-08-06,AT02,IP0074,C06,S2,SYS07,8065,1423020,4,32,Escalated
E000015,2024-03-14,AT01,IP0177,C07,S5,SYS02,32209,8990111,11,23,Resolved
E000016,2024-12-11,AT03,IP0124,C08,S1,SYS01,49871,1944040,8,32,Resolved
E000017,2023-06-09,AT02,IP0026,C05,S1,SYS04,45731,8077848,7,25,Escalated
E000018,2024-07-29,AT02,IP0082,C06,S5,SYS05,46684,7432827,11,23,Escalated
E000019,2023-03-20,AT01,IP0256,C08,S4,SYS04,27829,9360797,3,30,Resolved
E000020,2024-03-05,AT02,IP0202,C08,S1,SYS02,44743,1282200,2,57,Mitigated
E000021,2024-08-02,AT03,IP0145,C08,S1,SYS05,19274,1193956,4,44,Escalated
E000022,2024-05-03,AT04,IP0005,C02,S2,SYS04,48858,1531041,3,54,Mitigated
E000023,2024-10-28,AT07,IP0207,C06,S4,SYS01,20295,6242453,12,53,Resolved
